feature_name,source,available_as_of,existing_or_proposed,coverage_mechanism,existing_stage2_1_mechanism,formula_or_definition,preprocess_policy,missing_rate,mutual_exclusion_group,exact_duplicate_group,coverage_status,recommended_role,reason
board_streak_before_break,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,BOARD_HISTORY,"断板前连续涨停天数 ∈ {2,3} (日线相邻交易日判定)",NO_DIRECT_MODEL_INPUT,0.0,,,EXISTING_REUSE,NO_MODEL_INPUT,DERIVE_ONLY 绝对尺度; 只能经派生 (board_streak_is_3) 进入模型
board_streak_is_3,v004c-factor-dictionary-0.1 (预声明派生),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,PREDECLARED_DERIVED,1[board_streak_before_break == 3],RAW_BINARY,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,"二板/三板事件状态二元项, 预声明派生, D1_CLOSE 可得"
break_day_in_pool,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,POOL_MEMBERSHIP,D1 断板日是否出现在涨停池 (正常为 False),RAW_BINARY,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"D1 断板日池状态二元项 (正常 95% 为 False, 罕见反例含事件信息)"
last_board_day_in_pool,v004c-d1-dataset-0.1 (v004c-features-0.3),D0_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,POOL_MEMBERSHIP,末板日是否在涨停池,RAW_BINARY,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"D0 池状态, 97% 恒 True, 信息量极低"
max_board_streak_20d,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,BOARD_HISTORY,20 日窗口内最长连续涨停天数,RAW_ORDINAL,0.0,,,EXISTING_REUSE,CONTEXT_ONLY,"20 日最大连板 (含本轮), 与 board_streak_before_break 强相关; CONTEXT_ONLY"
pool_consecutive_count_last_board,v004c-d1-dataset-0.1 (v004c-features-0.3),D0_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,POOL_MEMBERSHIP,池口径 consecutive_limit_up_count (交叉核对用),RAW_ORDINAL,0.027,,,EXISTING_REUSE,SENSITIVITY_ONLY,"池口径连板数与日线相邻口径交叉核对字段, 与 board_streak 近重复"
recent_limit_up_count_10d,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,BOARD_HISTORY,信号日(含)往前 10 个交易日中日线涨停天数,RAW_ORDINAL,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"10 日事件统计, 与核心 7 日窗口最接近的事件频率表达; REUSE_AS_CONTEXT"
recent_limit_up_count_20d,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,BOARD_HISTORY,信号日(含)往前 20 个交易日中日线涨停天数,RAW_ORDINAL,0.0,,,EXISTING_REUSE,CONTEXT_ONLY,"20 日事件统计超出核心 7 日窗口; 不得自动进入主模型, REUSE_AS_CONTEXT"
recent_pool_appearance_count_10d,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,BOARD_HISTORY,同一 10 日窗口内该股出现在涨停池的天数,RAW_ORDINAL,0.0,,,EXISTING_REUSE,CONTEXT_ONLY,池出现频率 10 日; 覆盖偏倚 (2026-05-06 前无池数据); CONTEXT_ONLY
recent_pool_appearance_count_20d,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,BOARD_OR_EVENT_STATE,BOARD_HISTORY,同一 20 日窗口内该股出现在涨停池的天数,RAW_ORDINAL,0.0,,,EXISTING_REUSE,CONTEXT_ONLY,"池出现频率 20 日; 同上, CONTEXT_ONLY"
