model_id,position,feature_name,source_or_derived,source_column,allowlist_tier,mechanism_group,underlying_mechanism,analysis_type,preprocess_policy,mutual_exclusion_group_id,expected_direction,direction_is_constraint,selection_rationale
M1,1,break_open_return,source,break_open_return,PRIMARY,D1_PRICE_ACTION,D1_PRICE_ACTION,CONTINUOUS,FOLD_CLIP_Z,,+,False,"断板日开盘相对前收收益, 修复动能的方向性 primary 表达。"
M1,2,down_bar_volume_ratio,source,down_bar_volume_ratio,PRIMARY,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,CONTINUOUS,FOLD_CLIP_Z,,+,False,"阴线量占比, 出货/承接结构的方向性 primary 表达。"
M1,3,high_zone_volume_ratio,source,high_zone_volume_ratio,PRIMARY,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,CONTINUOUS,FOLD_CLIP_Z,ME03_HIGH_ZONE,-,False,"高位区成交量占比, 套牢筹码堆积的 primary 表达。"
M1,4,late_day_sell_volume_ratio,source,late_day_sell_volume_ratio,PRIMARY,D1_LATE_DAY_PRESSURE,D1_LATE_DAY_PRESSURE,CONTINUOUS,FOLD_CLIP_Z,ME04_LATE_SELL,-,False,"尾盘卖出成交量占比, 尾盘抛压的 primary 表达。"
M1,5,d1_close_to_vwap_raw,source,d1_close_to_vwap_raw,PRIMARY,D1_VWAP_POSITION,D1_VWAP_POSITION,CONTINUOUS,FOLD_CLIP_Z,ME05_VWAP_GAP,-,False,"收盘相对当日 VWAP 的位置, 全天持仓成本的 primary 表达。"
M2,1,break_open_return,source,break_open_return,PRIMARY,D1_PRICE_ACTION,D1_PRICE_ACTION,CONTINUOUS,FOLD_CLIP_Z,,+,False,"与 M1 相同, 保持主要机制结构不变。"
M2,2,down_bar_volume_ratio,source,down_bar_volume_ratio,PRIMARY,D1_VOLUME_ACTIVITY,D1_VOLUME_ACTIVITY,CONTINUOUS,FOLD_CLIP_Z,,+,False,"与 M1 相同, 保持主要机制结构不变。"
M2,3,high_zone_amount_ratio,source,high_zone_amount_ratio,SENSITIVITY,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,CONTINUOUS,FOLD_CLIP_Z,ME03_HIGH_ZONE,-,False,M1 high_zone_volume_ratio 的金额替代 (互斥组 ME03_HIGH_ZONE)。
M2,4,late_day_sell_amount_ratio,source,late_day_sell_amount_ratio,SENSITIVITY,D1_LATE_DAY_PRESSURE,D1_LATE_DAY_PRESSURE,CONTINUOUS,FOLD_CLIP_Z,ME04_LATE_SELL,-,False,M1 late_day_sell_volume_ratio 的金额替代 (互斥组 ME04_LATE_SELL)。
M2,5,d1_vwap_to_close_gap,source,d1_vwap_to_close_gap,SENSITIVITY,D1_VWAP_POSITION,D1_VWAP_POSITION,CONTINUOUS,FOLD_CLIP_Z,ME05_VWAP_GAP,+,False,M1 d1_close_to_vwap_raw 的反向表达式替代 (互斥组 ME05_VWAP_GAP)。
M3,1,overrepair,derived,d1_open_to_close_return_raw,PRIMARY,PREDECLARED_DERIVED,D1_PRICE_ACTION,CONTINUOUS,FOLD_CLIP_Z,,-,False,"单日修复动能超过 3% 的截断部分 (派生自 d1_open_to_close_return_raw), 过度修复后回落风险。"
M3,2,ma5_overheat_10,derived,d1_close_to_ma5_raw,PRIMARY,PREDECLARED_DERIVED,D1_MA_POSITION,BINARY,RAW_BINARY,,-,False,"收盘偏离 MA5 达 +10% 的过热二元项 (派生自 d1_close_to_ma5_raw), RAW_BINARY 处理。"
M3,3,break_volume_abnormality,derived,break_volume_ratio_vs_board_days,PRIMARY,PREDECLARED_DERIVED,D1_VOLUME_ACTIVITY,CONTINUOUS,FOLD_CLIP_Z,,-,False,"断板日相对连板均量偏离的绝对对数幅度 (派生自 break_volume_ratio_vs_board_days), 双向异常。"
M3,4,profit_chip_ratio,derived,volume_above_d1_close_ratio,PRIMARY,PREDECLARED_DERIVED,D1_CHIP_DISTRIBUTION,CONTINUOUS,FOLD_CLIP_Z,,+,False,"收盘价上方成交占比的补数 (派生自 volume_above_d1_close_ratio), 下方获利盘占比。"
M3,5,late_day_sell_volume_ratio,source,late_day_sell_volume_ratio,PRIMARY,D1_LATE_DAY_PRESSURE,D1_LATE_DAY_PRESSURE,CONTINUOUS,FOLD_CLIP_Z,ME04_LATE_SELL,-,False,"尾盘卖出成交量占比, 与 M1 相同的尾盘抛压表达。"
