feature_order,feature_name,semantic_group,information_class,dtype,formula,raw_dependencies,source,lookback,available_as_of,missing_semantics,expected_range_or_domain,notes
1,board_streak_is_3,BOARD_HISTORY,KNOWN_STATE,binary,1[board_streak_before_break == 3],board_streak_before_break,v002_derived,board history,D1_CLOSE,NA if board_streak_before_break missing,"{0,1}","二板/三板事件状态二元项 (PREDECLARED_DERIVED, D1_CLOSE 可得)"
2,max_board_streak_20d,BOARD_HISTORY,KNOWN_STATE,ordinal,20 窗口 (obs-19..obs) 内日线连续涨停天数最大值,daily OHLCVA,daily_cache_rebuild,20d,D1_CLOSE,NA if insufficient daily history,>=1 (正整数),"20 日最大连板 (含本轮), 日线 is_limit_up_day 判定"
3,recent_limit_up_count_10d,BOARD_HISTORY,KNOWN_STATE,ordinal,obs-9..obs 窗口内日线涨停天数之和,daily OHLCVA,daily_cache_rebuild,10d,D1_CLOSE,NA if insufficient daily history,0..10,"近 10 交易日涨停次数 (v0.2.2 口径, 日线 flags)"
4,recent_limit_up_count_20d,BOARD_HISTORY,KNOWN_STATE,ordinal,obs-19..obs 窗口内日线涨停天数之和,daily OHLCVA,daily_cache_rebuild,20d,D1_CLOSE,NA if insufficient daily history,0..20,近 20 交易日涨停次数 (v0.2.2 口径)
5,recent_pool_appearance_count_10d,BOARD_HISTORY,KNOWN_STATE,ordinal,10 窗口内该股出现在涨停池的交易日数 (池覆盖子集),pool membership,pool_cache_rebuild,10d,D1_CLOSE,"COVERAGE_CAVEAT: 2026-05-06 前无池数据, 按池覆盖子集计",0..10,池出现频率 10 日; 5/6 前无池数据 -> 计数为覆盖下界
6,recent_pool_appearance_count_20d,BOARD_HISTORY,KNOWN_STATE,ordinal,20 窗口内该股出现在涨停池的交易日数 (池覆盖子集),pool membership,pool_cache_rebuild,20d,D1_CLOSE,"COVERAGE_CAVEAT: 2026-05-06 前无池数据, 按池覆盖子集计",0..20,池出现频率 20 日; 同 10d 覆盖下界
7,board_day_volume_rank,D0_CROSS_SECTION,KNOWN_STATE,continuous,D0 当日涨停池成员按 daily volume 降序 rank(method='min') (1=最高),pool membership;daily volume,pool_cache_rebuild,D0,D0_CLOSE,"NA if D0 无池数据 (2026-04-30 事件, 池窗口外)",1..n_pool_members,"市场横截面 volume 排名 (market rank, 非模型 rank); 池口径合法"
8,break_open_return,D1_PRICE_ACTION,D1_STRUCTURE,continuous,d1_open / d0_close - 1,d1_open;d0_close,v002,D1 intraday,D1_CLOSE,NA if d0_close missing,"(-1, +inf)",D1 开盘相对 D0 收盘缺口 (模型表 PRIMARY)
9,break_high_return,D1_PRICE_ACTION,D1_STRUCTURE,continuous,d1_high / d0_close - 1,d1_high;d0_close,daily_cache_rebuild,D1 intraday,D1_CLOSE,NA if d0_close missing,"(-1, +inf)",D1 最高相对 D0 收盘 (模型表 PRIMARY)
10,break_close_return,D1_PRICE_ACTION,D1_STRUCTURE,continuous,d1_close / d0_close - 1,d1_close;d0_close,daily_cache_rebuild,D1 intraday,D1_CLOSE,NA if d0_close missing,"(-1, +inf)",D1 收盘相对 D0 收盘 (模型表 PRIMARY)
11,break_touched_limit_up,D1_PRICE_ACTION,D1_STRUCTURE,binary,"1[d1_high >= round(d0_close*1.10, 2) - 0.011]",d1_high;d0_close,daily_cache_rebuild,D1 intraday,D1_CLOSE,NA if d0_close missing,"{0,1}",D1 盘中触板事件 (模型表 PRIMARY)
12,break_opened_from_limit_up,D1_PRICE_ACTION,D1_STRUCTURE,binary,"1[d1_open >= round(d0_close*1.10, 2) - 0.011]",d1_open;d0_close,daily_cache_rebuild,D1 intraday,D1_CLOSE,NA if d0_close missing,"{0,1}",D1 开在涨停 (模型表 SENSITIVITY)
13,break_upper_shadow_ratio,D1_PRICE_ACTION,D1_STRUCTURE,continuous,"(d1_high - max(d1_open, d1_close)) / (d1_high - d1_low)",d1_open;d1_high;d1_low;d1_close,daily_cache_rebuild,D1 intraday,D1_CLOSE,NA if d1_high == d1_low (公式退化),"[0,1]",D1 上影线占比 (模型表 SENSITIVITY)
14,break_lower_shadow_ratio,D1_PRICE_ACTION,D1_STRUCTURE,continuous,"(min(d1_open, d1_close) - d1_low) / (d1_high - d1_low)",d1_open;d1_high;d1_low;d1_close,daily_cache_rebuild,D1 intraday,D1_CLOSE,NA if d1_high == d1_low (公式退化),"[0,1]",D1 下影线占比 (模型表 SENSITIVITY)
15,d1_high_to_close_drawdown_raw,D1_PRICE_ACTION,D1_STRUCTURE,continuous,(d1_high - d1_close) / d1_high,d1_high;d1_close,v002,D1 intraday,D1_CLOSE,NA if d1_high missing,"[0,1]",D1 日内冲高回落 (模型表 PRIMARY)
16,d1_low_to_close_recovery,D1_PRICE_ACTION,D1_STRUCTURE,continuous,(d1_close - d1_low) / d1_low,d1_low;d1_close,v002,D1 intraday,D1_CLOSE,NA if d1_low missing,"[0, +inf)",D1 低点回收强度 (模型表 PRIMARY)
17,d1_open_to_close_return_raw,D1_PRICE_ACTION,D1_STRUCTURE,continuous,d1_close / d1_open - 1,d1_open;d1_close,v002,D1 intraday,D1_CLOSE,NA if d1_open missing,"(-1, +inf)",D1 当日 open->close (模型表 PRIMARY)
18,d1_close_location,D1_PRICE_ACTION,D1_STRUCTURE,continuous,(d1_close - d1_low) / (d1_high - d1_low),d1_low;d1_high;d1_close,v002,D1 intraday,D1_CLOSE,STRUCTURAL_MISSING if d1_high==d1_low (603065 型一字板),"[0,1]",D1 收盘日内位置; 官方公式分母 0 -> None (允许)
19,d1_intraday_range,D1_PRICE_ACTION,D1_STRUCTURE,continuous,(d1_high - d1_low) / d0_close,d1_high;d1_low;d0_close,v002,D1 intraday,D1_CLOSE,NA if d0_close missing,"[0, +inf)",D1 振幅 (模型表 PRIMARY)
20,d1_afternoon_return,D1_PRICE_ACTION,D1_STRUCTURE,continuous,d1_close / 13:00 前最后 bar close - 1,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"(-1, +inf)",午后段收益 (模型表 PRIMARY)
21,d1_last_hour_return,D1_PRICE_ACTION,D1_STRUCTURE,continuous,d1_close / 14:00 bar close - 1,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"(-1, +inf)",尾盘 1 小时收益 (模型表 PRIMARY)
22,break_volume_ratio_vs_board_days,D1_VOLUME_ACTIVITY,D1_STRUCTURE,continuous,d1_volume / mean(board 日 volume),d1_volume;board 日 daily volume,daily_cache_rebuild,D1 + board days,D1_CLOSE,NA if board 日 volume 缺失,"[0, +inf)",D1 相对本轮连板量能放大 (ME01 canonical)
23,d1_up_bar_volume_ratio,D1_VOLUME_ACTIVITY,D1_STRUCTURE,continuous,Σvolume(bar close>open) / Σvolume,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]",阳线量占比 (模型表 PRIMARY)
24,down_bar_volume_ratio,D1_VOLUME_ACTIVITY,D1_STRUCTURE,continuous,Σvolume(bar close<open) / Σvolume,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]","阴线量占比 (canonical 名, 模型表 PRIMARY)"
25,volume_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,D1_STRUCTURE,continuous,Σvolume(bar close >= d1_close) / Σvolume,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]","收盘上方量占比 (ME02 canonical, 模型表 PRIMARY)"
26,amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,D1_STRUCTURE,continuous,Σamount(bar close >= d1_close) / Σamount,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]",ME02 金额替代表达 (模型表 SENSITIVITY)
27,high_zone_volume_ratio,D1_CHIP_DISTRIBUTION,D1_STRUCTURE,continuous,Σvolume(bar close >= d1_low + 0.7*(d1_high-d1_low)) / Σvolume,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]","高位区量占比 (ME03 canonical, 模型表 PRIMARY)"
28,high_zone_amount_ratio,D1_CHIP_DISTRIBUTION,D1_STRUCTURE,continuous,Σamount(bar close >= d1_low + 0.7*(d1_high-d1_low)) / Σamount,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]",ME03 金额替代表达 (模型表 SENSITIVITY)
29,late_day_sell_volume_ratio,D1_LATE_DAY_PRESSURE,D1_STRUCTURE,continuous,Σvolume(time>=14:00 and bar close<bar open) / Σvolume,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]","尾盘下跌量占比 (ME04 canonical, 模型表 PRIMARY)"
30,late_day_sell_amount_ratio,D1_LATE_DAY_PRESSURE,D1_STRUCTURE,continuous,Σamount(time>=14:00 and bar close<bar open) / Σamount,5min OHLCVA,v002,D1 intraday,D1_CLOSE,NA if minute data incomplete,"[0,1]",ME04 金额替代表达 (模型表 SENSITIVITY)
31,d1_close_to_vwap_raw,D1_VWAP_POSITION,D1_STRUCTURE,continuous,d1_close / d1_vwap - 1,d1_close;d1_vwap,v002,D1 intraday,D1_CLOSE,NA if d1_vwap missing,"(-1, +inf)","D1 收盘相对日内成本线 (ME05 canonical, 模型表 PRIMARY)"
32,d1_close_to_ma5_raw,D1_MA_POSITION,KNOWN_STATE,continuous,d1_close / ma5(D1) - 1,daily close,v002,MA5 window,D1_CLOSE,NA if ma5 missing,"(-1, +inf)",close/ma5 - 1 (模型表 PRIMARY)
33,d1_low_to_ma5_raw,D1_MA_POSITION,KNOWN_STATE,continuous,d1_low / ma5(D1) - 1,daily close,v002,MA5 window,D1_CLOSE,NA if ma5 missing,"(-1, +inf)",low/ma5 - 1 (模型表 PRIMARY)
34,d1_high_to_ma5_raw,D1_MA_POSITION,KNOWN_STATE,continuous,d1_high / ma5(D1) - 1,daily close,v002,MA5 window,D1_CLOSE,NA if ma5 missing,"(-1, +inf)",high/ma5 - 1 (模型表 SENSITIVITY)
35,d1_close_to_ma10_raw,D1_MA_POSITION,KNOWN_STATE,continuous,d1_close / ma10(D1) - 1,daily close,v002,MA10 window,D1_CLOSE,NA if ma10 missing,"(-1, +inf)",close/ma10 - 1 (模型表 PRIMARY)
36,d1_low_to_ma10_raw,D1_MA_POSITION,KNOWN_STATE,continuous,d1_low / ma10(D1) - 1,daily close,v002,MA10 window,D1_CLOSE,NA if ma10 missing,"(-1, +inf)",low/ma10 - 1 (模型表 SENSITIVITY)
37,d1_close_to_ma20,D1_MA_POSITION,KNOWN_STATE,continuous,d1_close / ma20(D1) - 1,daily close,v002,MA20 window,D1_CLOSE,NA if ma20 missing,"(-1, +inf)",close/ma20 - 1 (模型表 PRIMARY)
38,d1_ma5_slope,D1_MA_POSITION,KNOWN_STATE,continuous,ma5(D1) / ma5(D1 前一日) - 1,daily close,v002,MA5 window,D1_CLOSE,NA if ma5 history missing,"(-1, +inf)",MA5 1 日变化率 (模型表 PRIMARY)
39,d1_ma10_slope,D1_MA_POSITION,KNOWN_STATE,continuous,ma10(D1) / ma10(D1 前一日) - 1,daily close,v002,MA10 window,D1_CLOSE,NA if ma10 history missing,"(-1, +inf)",MA10 1 日变化率 (模型表 PRIMARY)
40,d1_ma20_slope,D1_MA_POSITION,KNOWN_STATE,continuous,ma20(D1) / ma20(D1 前一日) - 1,daily close,daily_cache_rebuild,MA20 window,D1_CLOSE,NA if ma20 history missing,"(-1, +inf)","MA20 slope (DEFER 提升; D1_CLOSE 可得, 定义稳定)"
41,d1_close_above_ma5,D1_MA_POSITION,KNOWN_STATE,binary,1[d1_close >= ma5(D1)],daily close,v002,MA5 window,D1_CLOSE,NA if ma5 missing,"{0,1}",ME06 canonical 二元项 (模型表 SENSITIVITY)
42,d1_close_above_ma10,D1_MA_POSITION,KNOWN_STATE,binary,1[d1_close >= ma10(D1)],daily close,v002,MA10 window,D1_CLOSE,NA if ma10 missing,"{0,1}",ME07 canonical 二元项 (模型表 SENSITIVITY)
43,d1_true_reclaim_ma5,D1_MA_POSITION,KNOWN_STATE,binary,1[d1_low <= ma5(D1) and d1_close >= ma5(D1)],daily close,v002,MA5 window,D1_CLOSE,NA if ma5 missing,"{0,1}",下探收回 MA5 (模型表 PRIMARY)
44,d1_true_reclaim_ma10,D1_MA_POSITION,KNOWN_STATE,binary,1[d1_low <= ma10(D1) and d1_close >= ma10(D1)],daily close,v002,MA10 window,D1_CLOSE,NA if ma10 missing,"{0,1}",下探收回 MA10 (模型表 SENSITIVITY)
45,consecutive_days_below_ma5,D1_MA_POSITION,KNOWN_STATE,ordinal,signal_date(含)向前 close < ma5 的连续天数,daily close,v002,MA5 window,D1_CLOSE,0 if no day below,>=0 (整数),ME06 替代 (模型表 SENSITIVITY)
46,consecutive_days_below_ma10,D1_MA_POSITION,KNOWN_STATE,ordinal,signal_date(含)向前 close < ma10 的连续天数,daily close,v002,MA10 window,D1_CLOSE,0 if no day below,>=0 (整数),ME07 替代 (模型表 SENSITIVITY)
