feature_name,pairwise_v1_decision,decision_reason
CLOSE_DAMAGE,EXCLUDE_MANUAL_COMPOSITE,repair-state CLOSE_DAMAGE 综合
DAMAGE7,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
DIVERGENCE,EXCLUDE_MANUAL_COMPOSITE,repair-state DIVERGENCE 综合
DIVERGENCE_SQ,EXCLUDE_MANUAL_COMPOSITE,repair-state 非线性变换
DIVERGENCE_X_DAMAGE,EXCLUDE_MANUAL_COMPOSITE,repair-state 交互项
DIVERGENCE_X_RECLAIM,EXCLUDE_MANUAL_COMPOSITE,repair-state 交互项
DIVERGENCE_X_SUPPLY,EXCLUDE_MANUAL_COMPOSITE,repair-state 交互项
HIGHZONE,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
LATESELL,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
MOM7,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
OPEN,EXCLUDE_MANUAL_COMPOSITE,repair-state 核心因子 (标准化合成分)
POS7,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
RECLAIM,EXCLUDE_MANUAL_COMPOSITE,repair-state RECLAIM 综合
REGIME,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
RESET,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
SUPPLY,EXCLUDE_MANUAL_COMPOSITE,repair-state SUPPLY 综合
TREND,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
TURNOVER_COST,EXCLUDE_MANUAL_COMPOSITE,repair-state TURNOVER_COST 综合
board_day_amount_rank,EXCLUDE_SOURCE_UNAVAILABLE,"pool amount 在 2026-05-06..06-04 全 NaN (daily_limitup_derived), daily amount 全 NaN (0/463902), 无法确定性重建 May 窗口 -> 排除"
board_day_turnover_rank,EXCLUDE_SOURCE_UNAVAILABLE,"pool turnover_rate 在 2026-05-06..06-04 全 NaN, daily turnover_rate 全 NaN, 无法确定性重建 May 窗口 -> 排除"
board_stage_volume_price_decomposition,PENDING_EVIDENCE,"提案未实现; 逐阶段量价重建复杂, 数据质量不稳定"
board_streak_before_break,IDENTIFIER,"身份列, 只经派生 board_streak_is_3 进入模型"
break_amount,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED09: 与 d1_amount 精确重复
break_amount_ratio_vs_board_days,EXCLUDE_SOURCE_UNAVAILABLE,"分母 mean(board 日 amount) 在 May 窗口不可得 (daily amount 全 NaN, pool amount 5 月 NaN) -> 排除"
break_close,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED04: 与 d1_close 精确重复
break_close_location,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED07: 与 d1_close_location 精确重复
break_date,AUDIT_ONLY,与 signal_date 逐行一致 (D1 identity)
break_high,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED02: 与 d1_high 精确重复
break_high_to_close_drawdown,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED06: 与 d1_high_to_close_drawdown_raw 精确重复
break_intraday_range,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED05: 与 d1_intraday_range 精确重复
break_low,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED03: 与 d1_low 精确重复
break_open,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED01: 与 d1_open 精确重复
break_prev_close,AUDIT_ONLY,"绝对价格锚点, DERIVE_ONLY; 派生后使用"
break_turnover_ratio,EXCLUDE_ALL_MISSING,"100% 缺失 (日线缓存无 turnover_rate), 字段不可用"
break_volume,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED08: 与 d1_volume 精确重复
break_volume_abnormality,EXCLUDE_MANUAL_COMPOSITE,|log(volume_ratio)|: 同机制再表达
code,IDENTIFIER,股票代码
d1_amount,AUDIT_ONLY,绝对额 DERIVE_ONLY
d1_close,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_close_to_ma5_bucket,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,"预分桶表达, 源码 d1_close_to_ma5_raw 已入契约"
d1_down_bar_volume_ratio,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED12: 与 down_bar_volume_ratio 精确重复
d1_high,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_low,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_ma10,AUDIT_ONLY,绝对 MA10 DERIVE_ONLY
d1_ma20,AUDIT_ONLY,绝对 MA20 DERIVE_ONLY
d1_ma5,AUDIT_ONLY,绝对 MA5 DERIVE_ONLY
d1_open,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_open_to_close_bucket,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,"预分桶表达, 源码 d1_open_to_close_return_raw 已入契约"
d1_to_d0_amount_ratio,PENDING_EVIDENCE,"提案未实现; 且 volume 版已覆盖, 金额版数据源不可得"
d1_to_d0_volume_ratio,PENDING_EVIDENCE,提案未实现; break_volume_ratio_vs_board_days 已覆盖
d1_volume,AUDIT_ONLY,绝对量 DERIVE_ONLY
d1_vwap,AUDIT_ONLY,绝对 VWAP DERIVE_ONLY
d1_vwap_to_close_gap,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,"(vwap-close)/close 与 close_to_vwap 反向 (spearman -1), 只留一种"
d2_open_daily,LABEL_ONLY,"D2 开盘, 未来信息, 标签序列"
