name,mechanism_block,formula,source,information_timestamp,d1_safe,missing_rule,already_exists,inclusion_status
is_board3,BOARD_STATE,1[board_streak_before_break == 3],authoritative event identity,D0 close,YES,FATAL,DERIVED,INCLUDED_AS_EXPLICIT_PREDICTOR
post_low_price_recovery,EXISTING_D1_REPAIR_PATH,D1 close / D1 low - 1,BaoStock D1 dev v002,D1 15:00,YES,not applicable,YES: d1_low_to_close_recovery,DUPLICATE_REJECTED
d1_afternoon_return,EXISTING_D1_REPAIR_PATH,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_close_location,EXISTING_D1_REPAIR_PATH,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_close_to_vwap_raw,EXISTING_D1_REPAIR_PATH,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_high_to_close_drawdown_raw,EXISTING_D1_REPAIR_PATH,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_last_hour_return,EXISTING_D1_REPAIR_PATH,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_low_to_close_recovery,EXISTING_D1_REPAIR_PATH,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
intraday_low_time_fraction,EXISTING_D1_REPAIR_PATH,first 5m bar index attaining D1 low / 47 (zero-based),BaoStock 5m cache,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,NO,INCLUDED
d1_down_bar_volume_ratio,EXISTING_SUPPLY_ACTIVITY,existing alias checked against down_bar_volume_ratio,BaoStock D1 dev v002,D1 15:00,YES,not applicable,YES: down_bar_volume_ratio,DUPLICATE_REJECTED
amount_above_d1_close_ratio,EXISTING_SUPPLY_ACTIVITY,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_up_bar_volume_ratio,EXISTING_SUPPLY_ACTIVITY,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
down_bar_volume_ratio,EXISTING_SUPPLY_ACTIVITY,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
high_zone_volume_ratio,EXISTING_SUPPLY_ACTIVITY,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
late_day_sell_volume_ratio,EXISTING_SUPPLY_ACTIVITY,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
