factor_name,factor_role,factor_type,formula,primitive_dependencies,active_in_r1,active_in_r2,economic_meaning,preprocessing
OPEN,CORE 基础因子 (单 primitive),continuous_standardized,F_O = z(break_open_return),break_open_return,True,True,"D1 开盘时, 前面 2/3 板形成的资金共识和隔夜认可是否仍存在 (overnight demand / opening strength)。不假设 OPEN 越高一定越好, 方向留给未来模型估计。","reference 样本内拟合 (FOLD_CLIP_Z 顺序: 在 reference 原始值上拟合 q01/q99 -> clip -> 在 clipped reference 值上拟合 mu/sigma) + (clip(x)-mu)/sigma (reference 参数; 未来正式 fold 中参数只来自 当前 training fold, 禁止全样本参数)"
DIVERGENCE,"CORE 基础因子 (单 primitive, 过程强度)",continuous_standardized,F_V = z(d1_intraday_range),d1_intraday_range,True,True,"D1 盘中实际发生过多大的首次价格分歧 (过程强度)。只描述价格探索范围 (D1 5min high-low range / prev_close), 不应该因为最后价格重新收回来就自动认为'分歧没有发生'。v002 语义修订: 不再使用 open_to_close / high_to_close / close_to_vwap 直接定义 DIVERGENCE (那描述的是收盘损伤, 已拆分给 CLOSE_DAMAGE)。","reference 样本内拟合 (FOLD_CLIP_Z 顺序: 在 reference 原始值上拟合 q01/q99 -> clip -> 在 clipped reference 值上拟合 mu/sigma) + (clip(x)-mu)/sigma (reference 参数; 未来正式 fold 中参数只来自 当前 training fold, 禁止全样本参数)"
CLOSE_DAMAGE,"CORE 基础因子 (3 primitive composite, 最终损伤)",continuous_standardized,G_C = (-z(d1_open_to_close_return_raw) + z(d1_high_to_close_drawdown_raw) - z(d1_close_to_vwap_raw)) / 3; F_C = z(G_C),d1_open_to_close_return_raw|d1_high_to_close_drawdown_raw|d1_close_to_vwap_raw,True,True,"D1 发生分歧以后, 到收盘时仍然留下多少价格结构损伤。与旧 RESET 数学定义完全一致 (权重 -1/3, +1/3, -1/3 固定, 禁止修改), 只是重新命名与重新解释; 与 DAMAGE7 (最近 7 日路径峰值破坏) 完全不同。","先对各 primitive 执行 FOLD_CLIP_Z (reference 参数), 再构造 G, 然后在 reference 上拟合 G 的 mu/sigma -> z(G)"
SUPPLY,CORE 基础因子 (单 primitive),continuous_standardized,F_S = z(late_day_sell_volume_ratio),late_day_sell_volume_ratio,True,True,"D1 进入后半段以后, 主动供应/卖压是否仍然持续存在。只使用 late_day_sell_volume_ratio 单独作为 SUPPLY; 不重新使用旧的 HIGHZONE + LATESELL composite。","reference 样本内拟合 (FOLD_CLIP_Z 顺序: 在 reference 原始值上拟合 q01/q99 -> clip -> 在 clipped reference 值上拟合 mu/sigma) + (clip(x)-mu)/sigma (reference 参数; 未来正式 fold 中参数只来自 当前 training fold, 禁止全样本参数)"
RECLAIM,CORE 基础因子 (2 primitive composite),continuous_standardized,G_Q = (z(d1_low_to_close_recovery) + z(d1_afternoon_return)) / 2; F_Q = z(G_Q),d1_low_to_close_recovery|d1_afternoon_return,True,True,"D1 盘中出现低点和分歧以后, 资金是否重新形成承接, 并把价格从低位收回来。v001 已冻结 (June Pearson 0.5787 / Spearman 0.5414; July 0.4409 / 0.4306, COMPOSITE_SUPPORTED), 不得改权重, 不得加第三个 primitive。","先对各 primitive 执行 FOLD_CLIP_Z (reference 参数), 再构造 G, 然后在 reference 上拟合 G 的 mu/sigma -> z(G)"
DIVERGENCE_SQ,CORE 派生项 (预声明非线性项),continuous_derived_standardized,H = F_V^2; F_V2 = z(H),DIVERGENCE,False,True,"允许未来 Logistic 表达'分歧可能存在最佳区间': 分歧太小 -> 浮筹释放不足; 适度分歧 -> 健康换手; 极端分歧 -> 大量兑现、承接消耗、后续修复预算透支。若未来 linear DIV > 0 且 DIV_SQ < 0 可形成倒 U 结构, 但本阶段禁止使用 Target 验证方向。","由标准化 base factor 构造 raw, 在 reference 上拟合 raw 的 mu/sigma -> 标准化; 不做第二次 clip (规格明确禁止对 derived 再施加第二套 q01/q99 裁剪)"
DIVERGENCE_X_RECLAIM,CORE 派生项 (预声明条件项),continuous_derived_standardized,H = F_V * F_Q; F_VQ = z(H),DIVERGENCE|RECLAIM,False,True,Repair-State 模型的核心条件项: 区分'DIV高 + RECLAIM高 = 大分歧后出现强回收'与'DIV高 + RECLAIM低 = 大分歧后缺乏承接'。,"由标准化 base factor 构造 raw, 在 reference 上拟合 raw 的 mu/sigma -> 标准化; 不做第二次 clip (规格明确禁止对 derived 再施加第二套 q01/q99 裁剪)"
DIVERGENCE_X_DAMAGE,CORE 派生项 (预声明条件项),continuous_derived_standardized,H = F_V * F_C; F_VC = z(H),DIVERGENCE|CLOSE_DAMAGE,False,True,区分'DIV高 + DAMAGE低 = 过程非常剧烈但最终损伤可控 (剧烈换手)'与'DIV高 + DAMAGE高 = 过程剧烈且最终价格结构严重受损 (获利盘大量兑现 + 承接资金消耗 + 后续修复预算被透支)'。,"由标准化 base factor 构造 raw, 在 reference 上拟合 raw 的 mu/sigma -> 标准化; 不做第二次 clip (规格明确禁止对 derived 再施加第二套 q01/q99 裁剪)"
DIVERGENCE_X_SUPPLY,SENSITIVITY,continuous_standardized,H = F_D * F_S; F_DS = z(H) (v001 derived 定义保留),DIVERGENCE_X_SUPPLY,False,False,"v001 预声明条件项, v002 降为 SENSITIVITY: 当前优先验证'分歧过度''分歧后的回收''分歧是否留下真实损伤'三个核心机制, 避免 interaction 继续膨胀。定义不删除。","只记录定义, 本版本不构造数值, 不进入 R1/R2; 历史定义保留在 v001/v004c_factor_spec, 不删除"
TURNOVER_COST,SENSITIVITY_TURNOVER_COST,continuous_standardized,TURNOVER_COST = z(break_volume_ratio_vs_board_days),TURNOVER_COST,False,False,"未来机制预声明: 同样的价格分歧, 如果伴随极端放量, 可能意味着更大的筹码兑现和修复预算消耗。字段定义 = break_volume / mean(断板前 streak 个板日volume) (冻结字段, 见 model table schema)。本版本禁止构造 DIV_X_TURNOVER, 禁止进入 R1/R2。","只记录定义, 本版本不构造数值, 不进入 R1/R2; 历史定义保留在 v001/v004c_factor_spec, 不删除"
